femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id
DR-12-FL,12,FL,DR,1953-10-22T05:00:00.000Z,1954,Flood,FLOOD,0,1,1,1,1953-10-22T05:00:00.000Z,1953-10-22T05:00:00.000Z,,12,0,0,Statewide,53015,93a695d6b2cbc85dfcdb7658badee008,2019-07-26T18:49:32.164Z,5d1bceafd5b39c032f2602cb
DR-175-FL,175,FL,DR,1964-09-08T04:00:00.000Z,1964,Hurricane,HURRICANE CLEO,0,1,1,1,1964-09-08T04:00:00.000Z,1964-09-08T04:00:00.000Z,,12,0,0,Statewide,64022,c069e3d83c0f4a0937486d1865b45573,2019-07-26T18:49:32.299Z,5d1bceafd5b39c032f26032a
DR-176-FL,176,FL,DR,1964-09-10T04:00:00.000Z,1964,Hurricane,HURRICANE DORA,0,1,1,1,1964-09-10T04:00:00.000Z,1964-09-10T04:00:00.000Z,,12,0,0,Statewide,64023,aed3fd3b546134546bbc00330dd05698,2019-07-26T18:49:32.300Z,5d1bceafd5b39c032f26031f
DR-141-FL,141,FL,DR,1962-12-17T05:00:00.000Z,1963,Flood,ABNORMALLY HIGH TIDES,0,1,1,1,1962-12-17T05:00:00.000Z,1962-12-17T05:00:00.000Z,,12,0,0,Statewide,62026,054acbd5f5e4bb71801eb2f04799bb6d,2019-07-26T18:49:32.227Z,5d1bceafd5b39c032f26033a
DR-106-FL,106,FL,DR,1960-09-12T04:00:00.000Z,1960,Hurricane,HURRICANE DONNA,0,1,1,1,1960-09-12T04:00:00.000Z,1960-09-12T04:00:00.000Z,,12,0,0,Statewide,60023,7fb5d092d1436d6cfc4eda5b5c2b30a1,2019-07-26T18:49:32.242Z,5d1bceafd5b39c032f260368
DR-97-FL,97,FL,DR,1960-03-23T05:00:00.000Z,1960,Other,SEVERE WEATHER CONDITIONS,0,1,1,1,1960-03-23T05:00:00.000Z,1960-03-23T05:00:00.000Z,,12,0,0,Statewide,60013,ae674ae3d010dde392c48ce4898258a4,2019-07-26T18:49:32.241Z,5d1bceafd5b39c032f260390
DR-209-FL,209,FL,DR,1965-09-14T04:00:00.000Z,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-14T04:00:00.000Z,1965-09-14T04:00:00.000Z,,12,11,99011,Broward (County),65035,302bbf96ffea373d4eeaf2c3e56b0595,2019-07-26T18:49:33.003Z,5d1bceafd5b39c032f26056d
DR-209-FL,209,FL,DR,1965-09-14T04:00:00.000Z,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-14T04:00:00.000Z,1965-09-14T04:00:00.000Z,,12,111,99111,St. Lucie (County),65035,4d33858b5bfb8a6ce5f82491488ccda5,2019-07-26T18:49:32.761Z,5d1bceafd5b39c032f260579
DR-209-FL,209,FL,DR,1965-09-14T04:00:00.000Z,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-14T04:00:00.000Z,1965-09-14T04:00:00.000Z,,12,99,99099,Palm Beach (County),65035,1c9e21687559ec853041d1eb4909b529,2019-07-26T18:49:32.962Z,5d1bceafd5b39c032f26057b
DR-209-FL,209,FL,DR,1965-09-14T04:00:00.000Z,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-14T04:00:00.000Z,1965-09-14T04:00:00.000Z,,12,85,99085,Martin (County),65035,7bc0b870c6c69b81679386cb8b323d30,2019-07-26T18:49:32.776Z,5d1bceafd5b39c032f260580
